================================================================================
Top 700 neighbors for: paris_defense_000002
Dataset: rparis6k
================================================================================

Rank   Database Image                                     Score          
--------------------------------------------------------------------------------
1      paris_louvre_000471                                0.98724978
2      paris_general_000719                               0.98695426
3      paris_defense_000449                               0.98693940
4      paris_notredame_000174                             0.98682145
5      paris_museedorsay_000939                           0.98680540
6      paris_pompidou_000589                              0.98680414
7      paris_pompidou_000596                              0.98678112
8      paris_pompidou_000056                              0.98677959
9      paris_pompidou_000482                              0.98675987
10     paris_pompidou_000606                              0.98673763
11     paris_general_001770                               0.98673624
12     paris_defense_000258                               0.98672320
13     paris_pompidou_000553                              0.98671689
14     paris_general_002766                               0.98670610
15     paris_moulinrouge_000375                           0.98667145
16     paris_pantheon_000656                              0.98665597
17     paris_pompidou_000585                              0.98662230
18     paris_general_001541                               0.98661418
19     paris_museedorsay_000614                           0.98660559
20     paris_sacrecoeur_000318                            0.98660439
21     paris_pantheon_000079                              0.98655407
22     paris_general_000133                               0.98654408
23     paris_pompidou_000587                              0.98653988
24     paris_museedorsay_000032                           0.98652620
25     paris_invalides_000014                             0.98651717
26     paris_general_002177                               0.98651344
27     paris_eiffel_000011                                0.98649551
28     paris_museedorsay_000166                           0.98648457
29     paris_pompidou_000592                              0.98648235
30     paris_pompidou_000580                              0.98648037
31     paris_museedorsay_000239                           0.98647818
32     paris_defense_000227                               0.98647210
33     paris_pompidou_000128                              0.98647207
34     paris_invalides_000594                             0.98646039
35     paris_museedorsay_000479                           0.98645882
36     paris_general_000125                               0.98644451
37     paris_museedorsay_000295                           0.98644402
38     paris_defense_000545                               0.98644127
39     paris_defense_000126                               0.98643475
40     paris_pantheon_000437                              0.98642739
41     paris_museedorsay_000127                           0.98642302
42     paris_defense_000361                               0.98642159
43     paris_defense_000059                               0.98641332
44     paris_general_002574                               0.98640606
45     paris_defense_000574                               0.98637167
46     paris_moulinrouge_000370                           0.98637142
47     paris_museedorsay_000076                           0.98637100
48     paris_notredame_000402                             0.98636644
49     paris_museedorsay_000971                           0.98636184
50     paris_general_000335                               0.98635049
51     paris_general_002793                               0.98634890
52     paris_moulinrouge_000014                           0.98633519
53     paris_sacrecoeur_000392                            0.98632629
54     paris_general_001621                               0.98632349
55     paris_museedorsay_000291                           0.98630933
56     paris_general_001433                               0.98630906
57     paris_defense_000004                               0.98630600
58     paris_defense_000564                               0.98629816
59     paris_defense_000228                               0.98629796
60     paris_general_001410                               0.98628732
61     paris_general_002842                               0.98628305
62     paris_general_000365                               0.98627595
63     paris_museedorsay_000950                           0.98627536
64     paris_general_001998                               0.98626203
65     paris_eiffel_000220                                0.98626152
66     paris_eiffel_000204                                0.98625794
67     paris_general_002025                               0.98625794
68     paris_general_000709                               0.98625255
69     paris_pompidou_000510                              0.98625142
70     paris_defense_000192                               0.98624727
71     paris_museedorsay_000962                           0.98624709
72     paris_moulinrouge_000601                           0.98623920
73     paris_eiffel_000014                                0.98623536
74     paris_general_000891                               0.98623034
75     paris_pompidou_000047                              0.98622141
76     paris_louvre_000244                                0.98621582
77     paris_general_002296                               0.98621266
78     paris_general_002233                               0.98621078
79     paris_general_002244                               0.98620536
80     paris_pompidou_000404                              0.98619809
81     paris_general_001500                               0.98619183
82     paris_pompidou_000204                              0.98618988
83     paris_general_002049                               0.98618822
84     paris_general_000352                               0.98618114
85     paris_museedorsay_000957                           0.98617562
86     paris_invalides_000257                             0.98617518
87     paris_defense_000287                               0.98617061
88     paris_louvre_000247                                0.98616833
89     paris_pompidou_000533                              0.98616326
90     paris_general_001655                               0.98616026
91     paris_general_001943                               0.98615941
92     paris_eiffel_000010                                0.98615620
93     paris_general_002100                               0.98615618
94     paris_general_003055                               0.98615524
95     paris_pompidou_000466                              0.98615384
96     paris_pompidou_000377                              0.98614802
97     paris_general_001766                               0.98614628
98     paris_museedorsay_000960                           0.98614364
99     paris_general_000693                               0.98614194
100    paris_general_002710                               0.98613708
101    paris_defense_000076                               0.98613357
102    paris_general_003025                               0.98613204
103    paris_louvre_000301                                0.98612690
104    paris_general_001756                               0.98612546
105    paris_notredame_000764                             0.98612407
106    paris_pompidou_000727                              0.98612061
107    paris_notredame_000413                             0.98612046
108    paris_pompidou_000644                              0.98611607
109    paris_museedorsay_000237                           0.98611511
110    paris_invalides_000275                             0.98611218
111    paris_general_001600                               0.98610648
112    paris_pompidou_000607                              0.98610502
113    paris_louvre_000104                                0.98609904
114    paris_pompidou_000306                              0.98609689
115    paris_eiffel_000167                                0.98609600
116    paris_louvre_000076                                0.98609415
117    paris_pantheon_000823                              0.98608957
118    paris_general_001724                               0.98608925
119    paris_general_000837                               0.98608788
120    paris_defense_000498                               0.98608536
121    paris_general_000727                               0.98608497
122    paris_pompidou_000300                              0.98608217
123    paris_museedorsay_000561                           0.98608044
124    paris_pantheon_000864                              0.98607872
125    paris_louvre_000396                                0.98607498
126    paris_general_003034                               0.98607063
127    paris_defense_000060                               0.98607059
128    paris_pompidou_000083                              0.98606859
129    paris_general_000277                               0.98606095
130    paris_general_002169                               0.98604916
131    paris_defense_000546                               0.98604800
132    paris_general_001358                               0.98604730
133    paris_general_002711                               0.98604555
134    paris_triomphe_001053                              0.98604201
135    paris_museedorsay_000521                           0.98604078
136    paris_notredame_000789                             0.98603564
137    paris_museedorsay_000090                           0.98603302
138    paris_general_002901                               0.98603302
139    paris_invalides_000057                             0.98602425
140    paris_defense_000239                               0.98602226
141    paris_defense_000124                               0.98602201
142    paris_general_000401                               0.98602102
143    paris_pompidou_000529                              0.98601837
144    paris_museedorsay_001030                           0.98601790
145    paris_defense_000577                               0.98601746
146    paris_notredame_000681                             0.98601581
147    paris_triomphe_000725                              0.98601412
148    paris_notredame_000763                             0.98601263
149    paris_museedorsay_000287                           0.98600976
150    paris_notredame_000187                             0.98600597
151    paris_invalides_000133                             0.98600594
152    paris_invalides_000373                             0.98600506
153    paris_museedorsay_000109                           0.98600040
154    paris_pantheon_000172                              0.98599934
155    paris_louvre_000374                                0.98599705
156    paris_general_002718                               0.98599120
157    paris_museedorsay_000775                           0.98599116
158    paris_museedorsay_000395                           0.98599090
159    paris_museedorsay_000949                           0.98598960
160    paris_defense_000211                               0.98598714
161    paris_general_002970                               0.98598714
162    paris_notredame_000954                             0.98598601
163    paris_general_000914                               0.98598048
164    paris_invalides_000623                             0.98597983
165    paris_louvre_000044                                0.98597164
166    paris_general_002859                               0.98597115
167    paris_moulinrouge_000848                           0.98596558
168    paris_sacrecoeur_000446                            0.98596400
169    paris_eiffel_000302                                0.98596240
170    paris_general_001234                               0.98596240
171    paris_general_001934                               0.98595867
172    paris_general_000162                               0.98595802
173    paris_notredame_000525                             0.98595706
174    paris_pompidou_000184                              0.98595661
175    paris_defense_000302                               0.98594077
176    paris_museedorsay_000267                           0.98593334
177    paris_invalides_000668                             0.98592939
178    paris_general_003003                               0.98592854
179    paris_general_000393                               0.98592346
180    paris_louvre_000157                                0.98591987
181    paris_notredame_000412                             0.98591676
182    paris_museedorsay_001037                           0.98591615
183    paris_triomphe_000301                              0.98591359
184    paris_general_002314                               0.98591207
185    paris_moulinrouge_000828                           0.98590967
186    paris_louvre_000386                                0.98590761
187    paris_louvre_000086                                0.98590238
188    paris_invalides_000771                             0.98590115
189    paris_general_001878                               0.98589678
190    paris_moulinrouge_000825                           0.98589516
191    paris_museedorsay_000164                           0.98589216
192    paris_general_000196                               0.98589185
193    paris_general_001983                               0.98589084
194    paris_museedorsay_000186                           0.98589001
195    paris_triomphe_000073                              0.98588868
196    paris_museedorsay_000456                           0.98588785
197    paris_general_002675                               0.98588779
198    paris_general_002832                               0.98588653
199    paris_general_000248                               0.98588383
200    paris_eiffel_000050                                0.98588383
201    paris_defense_000105                               0.98588374
202    paris_louvre_000270                                0.98588288
203    paris_defense_000573                               0.98588091
204    paris_eiffel_000226                                0.98587996
205    paris_general_002202                               0.98587996
206    paris_pompidou_000615                              0.98587839
