====================================================================================================
L2G STAGE 1: LOCAL FEATURE SEARCH RESULTS
====================================================================================================
Dataset: RParis6K
Index: l2g_index_rparis6k
Total queries: 2
Top-1600 results per query
Similarity: Chamfer (asymmetric) with p=0.01

TIMING:
  Total: 2.001s
  Average: 1.0004s/query
  Chamfer similarity: 0.9999s/query
  Sort: 0.0006s/query
====================================================================================================

Query: paris_defense_000000
--------------------------------------------------------------------------------
Rank     Database Image                                     Score               
--------------------------------------------------------------------------------
1        paris_defense_000000                               0.96301284
2        paris_eiffel_000014                                0.96297629
3        paris_museedorsay_000971                           0.96297627
4        paris_moulinrouge_000848                           0.96297543
5        paris_general_000401                               0.96297509
6        paris_pompidou_000553                              0.96297497
7        paris_pompidou_000083                              0.96297486
8        paris_defense_000498                               0.96297442
9        paris_pompidou_000596                              0.96297420
10       paris_museedorsay_000939                           0.96297420
11       paris_moulinrouge_000370                           0.96297391
12       paris_pompidou_000056                              0.96297369
13       paris_louvre_000301                                0.96297363
14       paris_louvre_000270                                0.96297362
15       paris_pompidou_000587                              0.96297355
16       paris_general_002025                               0.96297350
17       paris_eiffel_000204                                0.96297350
18       paris_museedorsay_000479                           0.96297338
19       paris_pompidou_000482                              0.96297332
20       paris_pompidou_000592                              0.96297328
21       paris_museedorsay_000239                           0.96297317
22       paris_general_001655                               0.96297314
23       paris_general_000277                               0.96297298
24       paris_pantheon_000079                              0.96297297
25       paris_general_002002                               0.96297280
26       paris_general_000891                               0.96297280
27       paris_defense_000449                               0.96297276
28       paris_general_000335                               0.96297251
29       paris_museedorsay_000775                           0.96297242
30       paris_general_001249                               0.96297221
31       paris_defense_000054                               0.96297202
32       paris_eiffel_000220                                0.96297161
33       paris_moulinrouge_000833                           0.96297151
34       paris_louvre_000244                                0.96297142
35       paris_defense_000245                               0.96297131
36       paris_pompidou_000585                              0.96297111
37       paris_general_001433                               0.96297110
38       paris_notredame_000174                             0.96297103
39       paris_general_001674                               0.96297100
40       paris_sacrecoeur_000318                            0.96297086
41       paris_pantheon_000656                              0.96297075
42       paris_general_001350                               0.96297066
43       paris_general_001867                               0.96297060
44       paris_moulinrouge_000396                           0.96297043
45       paris_defense_000352                               0.96297043
46       paris_general_001410                               0.96297038
47       paris_museedorsay_000076                           0.96297013
48       paris_museedorsay_000960                           0.96297009
49       paris_general_001358                               0.96297003
50       paris_museedorsay_001043                           0.96296998
51       paris_museedorsay_000032                           0.96296995
52       paris_general_002842                               0.96296993
53       paris_general_000693                               0.96296975
54       paris_defense_000558                               0.96296973
55       paris_defense_000192                               0.96296973
56       paris_invalides_000014                             0.96296944
57       paris_general_000719                               0.96296941
58       paris_defense_000592                               0.96296921
59       paris_museedorsay_000456                           0.96296918
60       paris_defense_000124                               0.96296916
61       paris_defense_000518                               0.96296911
62       paris_general_000893                               0.96296909
63       paris_defense_000367                               0.96296901
64       paris_louvre_000471                                0.96296896
65       paris_general_002100                               0.96296893
66       paris_general_001600                               0.96296893
67       paris_louvre_000374                                0.96296887
68       paris_general_000133                               0.96296887
69       paris_general_002188                               0.96296884
70       paris_general_000734                               0.96296882
71       paris_museedorsay_000950                           0.96296879
72       paris_general_000125                               0.96296876
73       paris_moulinrouge_000014                           0.96296872
74       paris_defense_000361                               0.96296872
75       paris_general_000307                               0.96296857
