====================================================================================================
L2G RESULTS (CHAMFER ASYMMETRIC) - TOP 700
Parameters: k=700, M=1600, w=0.19, p=0.01
====================================================================================================

Query: query_0000
--------------------------------------------------------------------------------
Rank   Database Image                      Score          
--------------------------------------------------------------------------------
1      db_002028                           0.99521681
2      db_004868                           0.99451733
3      db_001509                           0.99435268
4      db_004180                           0.99428638
5      db_001170                           0.99382394
6      db_000834                           0.99373171
7      db_004527                           0.99342884
8      db_003906                           0.99341701
9      db_002038                           0.99341351
10     db_000942                           0.99336030
11     db_003056                           0.99325420
12     db_004004                           0.99290586
13     db_002813                           0.99205802
14     db_003976                           0.99193844
15     db_003462                           0.99064756
16     db_002586                           0.98989156
17     db_004709                           0.98975473
18     db_002078                           0.98949755
19     db_002044                           0.98824434
20     db_004892                           0.98738545
21     db_004503                           0.98648988
22     db_000691                           0.98622800
23     db_002958                           0.98611943
24     db_001720                           0.98513581
25     db_000154                           0.98447422
26     db_002924                           0.98332333
27     db_003219                           0.98302568
28     db_001661                           0.98298027
29     db_004402                           0.98276069
30     db_002218                           0.98197422
31     db_002783                           0.98103181
32     db_003625                           0.98007759
33     db_002202                           0.98003052
34     db_004601                           0.97938430
35     db_003935                           0.97856078
36     db_000557                           0.97835355
37     db_003749                           0.97785956
38     db_001989                           0.97760634
39     db_003750                           0.97757924
40     db_001378                           0.97756977
41     db_003347                           0.97739816
42     db_001577                           0.97708048
43     db_003851                           0.97697983
44     db_003633                           0.97651939
45     db_003939                           0.97625474
46     db_002443                           0.97611400
47     db_001379                           0.97576178
48     db_000184                           0.97500034
49     db_001102                           0.97468481
50     db_000399                           0.97444644
51     db_003260                           0.97426575
52     db_002097                           0.97421070
53     db_002484                           0.97412695
54     db_004367                           0.97403856
55     db_000286                           0.97386883
56     db_002918                           0.97240537
57     db_004724                           0.97183044
58     db_000851                           0.97156272
59     db_002560                           0.97105606
60     db_001492                           0.97033808
61     db_003974                           0.97033596
62     db_001693                           0.97019050
63     db_002162                           0.96913653
64     db_001038                           0.96912120
65     db_004600                           0.96904615
66     db_004902                           0.96830076
67     db_004547                           0.96823549
68     db_001656                           0.96771225
69     db_003713                           0.96711136
70     db_002556                           0.96672042
71     db_002545                           0.96653136
72     db_001976                           0.96605936
73     db_002891                           0.96575238
74     db_000529                           0.96552643
75     db_002037                           0.96533241
76     db_002179                           0.96531662
77     db_003085                           0.96520295
78     db_000063                           0.96482674
79     db_003673                           0.96445524
80     db_000139                           0.96419267
81     db_003471                           0.96404991
82     db_001398                           0.96397211
83     db_000206                           0.96280783
84     db_004894                           0.96214677
85     db_004640                           0.96206128
86     db_001439                           0.96199143
87     db_002667                           0.96141171
88     db_003666                           0.96141056
89     db_004466                           0.96129443
90     db_003815                           0.96107367
91     db_001220                           0.96096196
92     db_002878                           0.96084118
93     db_000068                           0.96054584
94     db_004653                           0.96031348
95     db_001460                           0.95960434
96     db_003691                           0.95932045
97     db_000858                           0.95913387
98     db_004779                           0.95906352
99     db_003784                           0.95896975
100    db_003789                           0.95893885
101    db_001600                           0.95885272
102    db_002054                           0.95878542
103    db_002135                           0.95877984
104    db_002515                           0.95852130
105    db_004464                           0.95787069
106    db_004453                           0.95781869
107    db_001394                           0.95720380
108    db_003618                           0.95702730
109    db_000282                           0.95675337
110    db_000878                           0.95635087
111    db_004558                           0.95614627
112    db_002311                           0.95609670
113    db_004925                           0.95606073
114    db_001259                           0.95588738
115    db_002396                           0.95572083
116    db_001186                           0.95562510
117    db_004411                           0.95560698
118    db_004639                           0.95547925
119    db_000141                           0.95539511
120    db_004946                           0.95536609
121    db_002207                           0.95523940
122    db_004014                           0.95502690
123    db_002194                           0.95457199
124    db_001133                           0.95427126
125    db_000196                           0.95346445
126    db_003524                           0.95314693
127    db_004889                           0.95253323
128    db_001708                           0.95226066
129    db_001330                           0.95201859
130    db_001488                           0.95199456
131    db_001411                           0.95174730
132    db_002098                           0.95147698
133    db_004206                           0.95100893
