====================================================================================================
L2G RESULTS (CHAMFER ASYMMETRIC) - TOP 700
Parameters: k=700, M=1600, w=0.19, p=0.01
====================================================================================================

Query: query_0000
--------------------------------------------------------------------------------
Rank   Database Image                      Score          
--------------------------------------------------------------------------------
1      db_003043                           0.98897464
2      db_002907                           0.98657252
3      db_005391                           0.98649971
4      db_001501                           0.98636888
5      db_003614                           0.98446059
6      db_004996                           0.98283742
7      db_001362                           0.98249929
8      db_003889                           0.98222163
9      db_005177                           0.98169688
10     db_003363                           0.98115733
11     db_000419                           0.98105229
12     db_001183                           0.97976596
13     db_001644                           0.97954725
14     db_003804                           0.97931578
15     db_000408                           0.97858526
16     db_005855                           0.97532382
17     db_004413                           0.97435253
18     db_003407                           0.97306824
19     db_002806                           0.97252815
20     db_002481                           0.97220652
21     db_002480                           0.97149047
22     db_004151                           0.96920696
23     db_004712                           0.96833617
24     db_000801                           0.96707638
25     db_000032                           0.96627586
26     db_003124                           0.96572476
27     db_005474                           0.96500318
28     db_002667                           0.96483121
29     db_005611                           0.95618628
30     db_001085                           0.95452908
31     db_002724                           0.95333505
32     db_002506                           0.95189167
33     db_003219                           0.95013842
34     db_000829                           0.94977963
35     db_003315                           0.94639261
36     db_002565                           0.94586708
37     db_002566                           0.94461642
38     db_003685                           0.94282552
39     db_002382                           0.94170631
40     db_000824                           0.94111277
41     db_005941                           0.93550523
42     db_003758                           0.93322325
43     db_000047                           0.93300950
44     db_002127                           0.93162020
45     db_006115                           0.92776291
46     db_003787                           0.91402607
47     db_005302                           0.90486037
48     db_000149                           0.90077243
49     db_000453                           0.89961277
50     db_005264                           0.89481424
51     db_002528                           0.89145990
52     db_001581                           0.87217862
53     db_004732                           0.86548218
54     db_001963                           0.86050076
55     db_004862                           0.85142020
56     db_004863                           0.85094919
57     db_004450                           0.84863971
58     db_001911                           0.83705946
59     db_000479                           0.81675386
60     db_005931                           0.78595639
61     db_002047                           0.76759444
62     db_001995                           0.76742004
63     db_002218                           0.63228876
64     db_003624                           0.61313918
65     db_001041                           0.58161331
66     db_002217                           0.56815034
67     db_004483                           0.56775665
68     db_003958                           0.56771193
69     db_004769                           0.52780989
70     db_001279                           0.50434805
71     db_003478                           0.49258806
72     db_005894                           0.45557010
73     db_004800                           0.38300300
74     db_005883                           0.36417117
75     db_002927                           0.33961358
76     db_001798                           0.33413810
77     db_003703                           0.29497871
78     db_001855                           0.27113832
79     db_005094                           0.23740667
80     db_002815                           0.22975977
81     db_004460                           0.17406478
82     db_001883                           0.17088617
83     db_003532                           0.15792409
84     db_004670                           0.11649842
85     db_002031                           0.04683893
86     db_000951                           -0.11978561
87     db_002275                           -0.18501373
88     db_002831                           -0.19701665
89     db_003086                           -0.20864581
90     db_004367                           -0.23859601
91     db_002646                           -0.29679462
92     db_000072                           -0.30996896
93     db_000199                           -0.32264805
94     db_003321                           -0.32694013
95     db_002190                           -0.33858654
96     db_002848                           -0.35301419
97     db_001984                           -0.36670427
98     db_006242                           -0.37855032
99     db_002567                           -0.39561240
100    db_001839                           -0.39788530
101    db_005089                           -0.40539986
102    db_000945                           -0.40909535
103    db_000796                           -0.40945954
104    db_002445                           -0.41322083
105    db_002568                           -0.42095910
106    db_005616                           -0.43093033
107    db_005140                           -0.43219334
108    db_004671                           -0.43620644
109    db_004686                           -0.44411128
110    db_005832                           -0.45472959
111    db_000134                           -0.45702907
112    db_004316                           -0.46382895
113    db_001539                           -0.46404623
114    db_002978                           -0.47084770
115    db_003254                           -0.47155186
116    db_004356                           -0.47696476
117    db_005905                           -0.49214443
118    db_001238                           -0.49307392
119    db_000428                           -0.49525802
120    db_006295                           -0.49875111
121    db_005675                           -0.50145793
122    db_003376                           -0.51015125
123    db_001231                           -0.51434311
124    db_004556                           -0.52364501
125    db_002890                           -0.52632874
126    db_003877                           -0.53023189
127    db_000132                           -0.53025459
128    db_003721                           -0.53168576
129    db_001444                           -0.54003555
130    db_005559                           -0.54120337
131    db_003000                           -0.54480918
132    db_000204                           -0.54669839
133    db_000826                           -0.54934454
134    db_002336                           -0.54989696
135    db_001233                           -0.55129087
136    db_002647                           -0.55185973
137    db_005013                           -0.55460345
138    db_004808                           -0.55522052
139    db_004831                           -0.55630030
140    db_001785                           -0.55904295
141    db_001786                           -0.55904295
142    db_000291                           -0.56241224
143    db_000845                           -0.56387535
144    db_003033                           -0.56620389
145    db_005431                           -0.56702861
146    db_003456                           -0.57363808
147    db_001521                           -0.57492394
148    db_004238                           -0.57619120
149    db_003498                           -0.57637166
150    db_005831                           -0.57711866
151    db_005274                           -0.57727508
152    db_002662                           -0.57731712
153    db_005098                           -0.57807665
154    db_000989                           -0.57864387
155    db_000442                           -0.57899109
156    db_004507                           -0.57902551
157    db_004504                           -0.57915062
158    db_005729                           -0.57946244
159    db_005262                           -0.57953786
160    db_006009                           -0.57994480
161    db_000625                           -0.58039923
162    db_001567                           -0.58050476
163    db_000982                           -0.58087140
164    db_000114                           -0.58096473
165    db_004157                           -0.58134765
166    db_005378                           -0.58218132
167    db_004626                           -0.58254430
168    db_000063                           -0.58341333
169    db_006059                           -0.58359554
170    db_003015                           -0.58420626
171    db_002965                           -0.58680095
172    db_003759                           -0.58756985
173    db_004530                           -0.58817204
174    db_003690                           -0.58862928
175    db_000837                           -0.58863845
176    db_000836                           -0.58863845
177    db_001755                           -0.58877581
178    db_003880                           -0.58911117
179    db_002505                           -0.58977612
180    db_002207                           -0.59052682
181    db_005015                           -0.59062290
182    db_006038                           -0.59083852
183    db_005110                           -0.59087436
184    db_006171                           -0.59206212
185    db_001074                           -0.59227063
186    db_006219                           -0.59267374
187    db_006218                           -0.59267374
188    db_005809                           -0.59324213
189    db_001939                           -0.59358177
190    db_000209                           -0.59369623
191    db_000743                           -0.59404445
192    db_003961                           -0.59418573
193    db_002859                           -0.59465777
194    db_001256                           -0.59506230
195    db_001293                           -0.59587374
196    db_003356                           -0.59621441
197    db_001063                           -0.59698235
198    db_000070                           -0.59708499
199    db_005793                           -0.59716376
200    db_004956                           -0.59746179
201    db_005527                           -0.59795549
202    db_003757                           -0.59861061
203    db_004860                           -0.59863105
204    db_001210                           -0.60017562
205    db_002302                           -0.60093347
206    db_000382                           -0.60134473
207    db_005287                           -0.60148111
208    db_001561                           -0.60152564
209    db_002706                           -0.60203884
210    db_002385                           -0.60208650
211    db_004543                           -0.60218490
212    db_005052                           -0.60223062
213    db_001901                           -0.60246227
214    db_002104                           -0.60255072
215    db_003764                           -0.60255734
216    db_003215                           -0.60275436
217    db_006017                           -0.60291615
218    db_005144                           -0.60318495
219    db_004417                           -0.60380963
220    db_006214                           -0.60383986
221    db_001848                           -0.60390092
222    db_006224                           -0.60401978
223    db_000346                           -0.60415605
224    db_004922                           -0.60461456
225    db_003304                           -0.60493930
226    db_004407                           -0.60539053
227    db_005640                           -0.60555747
228    db_003035                           -0.60558895
229    db_005072                           -0.60571684
230    db_004457                           -0.60585207
231    db_005540                           -0.60591217
232    db_000450                           -0.60600855
233    db_002173                           -0.60603947
234    db_002438                           -0.60624934
235    db_002353                           -0.60628585
236    db_000206                           -0.60632890
237    db_003659                           -0.60633579
238    db_004957                           -0.60655078
239    db_001145                           -0.60679575
240    db_003611                           -0.60685875
241    db_006096                           -0.60686892
242    db_000594                           -0.60703557
243    db_001497                           -0.60711006
244    db_004266                           -0.60758450
245    db_003316                           -0.60760085
246    db_001223                           -0.60775292
247    db_001481                           -0.60779135
248    db_003548                           -0.60794704
249    db_003507                           -0.60811434
250    db_003020                           -0.60831835
251    db_000180                           -0.60834946
252    db_002527                           -0.60841586
253    db_005331                           -0.60861706
254    db_000658                           -0.60871818
255    db_000165                           -0.60873058
256    db_004542                           -0.60882500
257    db_001818                           -0.60887349
258    db_004167                           -0.60891818
259    db_001704                           -0.60905829
260    db_003985                           -0.60912478
261    db_005034                           -0.60914045
262    db_000875                           -0.60914416
263    db_001008                           -0.60939253
264    db_003161                           -0.60944449
265    db_001880                           -0.60971338
266    db_003657                           -0.60975051
267    db_004038                           -0.60975346
268    db_004037                           -0.60975346
269    db_000306                           -0.60985351
270    db_003032                           -0.60988792
271    db_001483                           -0.60995657
272    db_000786                           -0.61023546
273    db_006303                           -0.61048661
274    db_000564                           -0.61054273
275    db_005993                           -0.61055657
276    db_005350                           -0.61056556
277    db_002642                           -0.61064180
278    db_003750                           -0.61069788
279    db_005996                           -0.61073953
280    db_001583                           -0.61079986
281    db_006168                           -0.61091210
282    db_005663                           -0.61097503
283    db_001417                           -0.61099665
284    db_004007                           -0.61103867
285    db_004468                           -0.61105391
286    db_002637                           -0.61113865
287    db_005037                           -0.61131583
288    db_000915                           -0.61145316
289    db_005571                           -0.61148186
290    db_002774                           -0.61150583
291    db_002196                           -0.61154067
292    db_003488                           -0.61156144
293    db_004199                           -0.61157614
294    db_000233                           -0.61160494
295    db_005368                           -0.61166215
296    db_004643                           -0.61169873
297    db_005162                           -0.61173774
298    db_004775                           -0.61177795
299    db_004774                           -0.61177795
300    db_004909                           -0.61190470
301    db_000189                           -0.61202283
302    db_001112                           -0.61208489
303    db_004572                           -0.61211450
304    db_005768                           -0.61211709
305    db_004428                           -0.61211709
306    db_000039                           -0.61212736
307    db_002376                           -0.61214508
308    db_001803                           -0.61216482
309    db_000597                           -0.61226276
310    db_003078                           -0.61229922
311    db_005957                           -0.61232222
312    db_003210                           -0.61239578
313    db_003160                           -0.61240556
314    db_000940                           -0.61242587
315    db_000784                           -0.61255842
316    db_003423                           -0.61257268
317    db_005679                           -0.61257622
318    db_001108                           -0.61258102
319    db_004422                           -0.61264403
320    db_004208                           -0.61265590
321    db_000331                           -0.61265851
322    db_002551                           -0.61267680
323    db_004147                           -0.61268760
324    db_003484                           -0.61271826
325    db_005735                           -0.61274636
326    db_003121                           -0.61279349
327    db_006267                           -0.61280416
328    db_005352                           -0.61286488
329    db_004232                           -0.61288365
330    db_004954                           -0.61290187
331    db_003760                           -0.61295645
332    db_003923                           -0.61297038
333    db_000300                           -0.61297875
334    db_003404                           -0.61300204
335    db_002809                           -0.61300437
336    db_005871                           -0.61304486
337    db_006317                           -0.61305719
338    db_001627                           -0.61307995
339    db_005229                           -0.61311536
340    db_001028                           -0.61315891
341    db_004501                           -0.61317836
342    db_002755                           -0.61321748
343    db_005398                           -0.61322092
344    db_001529                           -0.61323985
345    db_002541                           -0.61325155
346    db_003434                           -0.61325401
347    db_004443                           -0.61326835
348    db_005003                           -0.61337893
349    db_003446                           -0.61338930
350    db_004832                           -0.61341170
351    db_004854                           -0.61345046
352    db_005824                           -0.61348412
353    db_003139                           -0.61348612
354    db_000243                           -0.61348625
355    db_006215                           -0.61350787
356    db_003930                           -0.61351629
357    db_005662                           -0.61351840
358    db_005277                           -0.61357952
359    db_002187                           -0.61365664
360    db_003723                           -0.61367035
361    db_002154                           -0.61372383
362    db_001000                           -0.61376165
363    db_003330                           -0.61382770
364    db_002420                           -0.61387294
365    db_001267                           -0.61388146
366    db_004259                           -0.61390475
367    db_005520                           -0.61390842
368    db_003280                           -0.61395614
369    db_000823                           -0.61400199
370    db_002414                           -0.61401946
371    db_000345                           -0.61404064
372    db_001477                           -0.61405100
373    db_000867                           -0.61406443
374    db_003817                           -0.61407972
375    db_002030                           -0.61408488
376    db_001541                           -0.61412853
377    db_000538                           -0.61415798
378    db_004814                           -0.61428629
379    db_002068                           -0.61432541
380    db_000696                           -0.61434077
381    db_003051                           -0.61434933
382    db_005581                           -0.61435705
383    db_000986                           -0.61437670
384    db_002781                           -0.61438062
385    db_002780                           -0.61438062
386    db_004081                           -0.61451182
387    db_000642                           -0.61454972
388    db_005463                           -0.61456003
389    db_000958                           -0.61462008
390    db_004119                           -0.61472438
391    db_005456                           -0.61476778
392    db_000774                           -0.61484043
393    db_002241                           -0.61490534
394    db_005539                           -0.61496118
395    db_002994                           -0.61497788
396    db_004191                           -0.61498132
397    db_005134                           -0.61499297
398    db_005291                           -0.61499763
399    db_005808                           -0.61500099
400    db_001464                           -0.61502255
401    db_005547                           -0.61503943
402    db_005147                           -0.61506245
403    db_006289                           -0.61508389
404    db_002928                           -0.61511754
405    db_004725                           -0.61523361
406    db_004476                           -0.61534778
407    db_003516                           -0.61541101
408    db_002391                           -0.61541271
409    db_000030                           -0.61545218
410    db_000230                           -0.61547019
411    db_006065                           -0.61551438
412    db_005245                           -0.61551574
413    db_002536                           -0.61555375
414    db_003308                           -0.61555999
415    db_001304                           -0.61557312
416    db_002632                           -0.61558726
417    db_002710                           -0.61561142
418    db_000869                           -0.61561460
419    db_004220                           -0.61570489
420    db_001426                           -0.61571429
421    db_003696                           -0.61571736
422    db_003490                           -0.61572294
423    db_005422                           -0.61572306
424    db_005393                           -0.61572941
425    db_004607                           -0.61573424
426    db_002766                           -0.61576952
427    db_005053                           -0.61578843
428    db_001909                           -0.61582816
429    db_000078                           -0.61593812
430    db_003768                           -0.61594402
431    db_002431                           -0.61624766
432    db_000446                           -0.61630765
433    db_005163                           -0.61631062
434    db_000372                           -0.61640685
435    db_002408                           -0.61642455
436    db_004806                           -0.61645746
437    db_004525                           -0.61653876
438    db_002419                           -0.61658069
439    db_004236                           -0.61659738
440    db_000173                           -0.61669355
441    db_004355                           -0.61675324
442    db_001205                           -0.61683159
443    db_005919                           -0.61690170
444    db_001526                           -0.61691461
445    db_005009                           -0.61691575
446    db_002407                           -0.61696112
447    db_002062                           -0.61698230
448    db_004153                           -0.61703173
449    db_001014                           -0.61703216
450    db_002235                           -0.61704324
451    db_001506                           -0.61717120
452    db_003318                           -0.61718349
453    db_000913                           -0.61720148
454    db_003312                           -0.61727280
455    db_003137                           -0.61728690
456    db_004823                           -0.61729923
457    db_004364                           -0.61735441
458    db_003206                           -0.61741750
459    db_003170                           -0.61748492
460    db_001669                           -0.61748736
461    db_002469                           -0.61750586
462    db_002761                           -0.61751032
463    db_001423                           -0.61751133
464    db_002616                           -0.61753876
465    db_005633                           -0.61754395
466    db_003827                           -0.61755625
467    db_005856                           -0.61759768
468    db_004983                           -0.61764901
469    db_005189                           -0.61767001
470    db_001733                           -0.61769852
471    db_003409                           -0.61770733
472    db_005118                           -0.61778707
473    db_002059                           -0.61788664
474    db_001915                           -0.61796873
475    db_001033                           -0.61799865
476    db_001935                           -0.61800092
477    db_006238                           -0.61800894
478    db_002034                           -0.61813683
479    db_006313                           -0.61816225
480    db_006205                           -0.61819704
481    db_001933                           -0.61820482
482    db_002086                           -0.61823274
483    db_001073                           -0.61840614
484    db_005139                           -0.61848317
485    db_001545                           -0.61851193
486    db_002183                           -0.61854771
487    db_002520                           -0.61855897
488    db_003711                           -0.61856281
489    db_001135                           -0.61860812
490    db_001075                           -0.61862527
491    db_005018                           -0.61863089
492    db_005059                           -0.61863655
493    db_005954                           -0.61864988
494    db_005584                           -0.61865721
495    db_004293                           -0.61870219
496    db_001896                           -0.61876787
497    db_003888                           -0.61877424
498    db_004562                           -0.61879095
499    db_000170                           -0.61882902
500    db_002474                           -0.61886963
501    db_000709                           -0.61887423
502    db_005935                           -0.61888476
503    db_002111                           -0.61890928
504    db_003233                           -0.61892932
505    db_006312                           -0.61893457
506    db_004728                           -0.61897706
507    db_000545                           -0.61901016
508    db_002176                           -0.61901612
509    db_002380                           -0.61902114
510    db_001867                           -0.61909816
511    db_003554                           -0.61912309
512    db_005316                           -0.61916795
513    db_005317                           -0.61916795
514    db_000135                           -0.61917375
515    db_005448                           -0.61919263
516    db_000730                           -0.61919803
517    db_005708                           -0.61919921
518    db_001576                           -0.61926459
519    db_004470                           -0.61935214
520    db_002013                           -0.61936055
521    db_004802                           -0.61936946
522    db_000380                           -0.61937855
523    db_004561                           -0.61938268
524    db_001396                           -0.61941882
525    db_000052                           -0.61943456
526    db_000549                           -0.61944074
527    db_001317                           -0.61945171
528    db_005068                           -0.61947445
529    db_005467                           -0.61948370
530    db_003475                           -0.61950496
531    db_005336                           -0.61950856
532    db_001725                           -0.61954264
533    db_000098                           -0.61955221
534    db_000261                           -0.61955453
535    db_002804                           -0.61955463
536    db_001752                           -0.61956938
537    db_001751                           -0.61956938
538    db_003276                           -0.61959777
539    db_006109                           -0.61959803
540    db_002560                           -0.61961760
541    db_002911                           -0.61963691
542    db_002271                           -0.61966032
543    db_006249                           -0.61967864
544    db_003175                           -0.61969179
545    db_002679                           -0.61972079
546    db_006166                           -0.61973117
547    db_003639                           -0.61974534
548    db_003447                           -0.61981238
549    db_005645                           -0.61981238
550    db_002432                           -0.61981280
551    db_002470                           -0.61985316
552    db_005032                           -0.61990126
553    db_000484                           -0.61990430
554    db_001070                           -0.61990611
555    db_004793                           -0.61991333
556    db_001732                           -0.61991928
557    db_003500                           -0.61994597
558    db_004017                           -0.62005671
559    db_005293                           -0.62007364
560    db_003113                           -0.62011248
561    db_005405                           -0.62012057
562    db_002624                           -0.62017630
563    db_001524                           -0.62018129
564    db_004213                           -0.62020232
565    db_006000                           -0.62021777
566    db_001116                           -0.62021881
567    db_005087                           -0.62022887
568    db_004877                           -0.62023859
569    db_001175                           -0.62028042
570    db_002843                           -0.62029313
571    db_003574                           -0.62030940
572    db_003419                           -0.62031135
573    db_002877                           -0.62034455
574    db_003725                           -0.62037060
575    db_001553                           -0.62037896
576    db_001820                           -0.62040213
577    db_000846                           -0.62042270
578    db_005288                           -0.62049510
579    db_000987                           -0.62053000
580    db_001846                           -0.62054196
581    db_000706                           -0.62058474
582    db_002694                           -0.62060549
583    db_005767                           -0.62062115
584    db_006228                           -0.62065455
585    db_006227                           -0.62065455
586    db_002458                           -0.62066718
